#YYYY-MM-DD,device,coverage,gen,comment
#input,"data/WW-PV-roof/E2008.csv"
#input,"data/WW-PV-roof/E2009.csv"
#input,"data/WW-PV-roof/E2010.csv"
#input,"data/WW-PV-roof/E2011.csv"
#input,"data/WW-PV-roof/E2012.csv"
#input,"data/WW-PV-roof/E2013.csv"
#input,"data/WW-PV-roof/E2014.csv"
#input,"data/WW-PV-roof/E2015.csv"
#input,"data/WW-PV-roof/E2016.csv"
#input,"data/WW-PV-roof/E2017.csv"
#input,"data/WW-PV-roof/E2018.csv"
#input,"data/WW-PV-roof/E2019.csv"
#input,"data/WW-PV-roof/E2020.csv"
#input,"data/WW-PV-roof/E2021.csv"
#input,"data/WW-PV-roof/E2022.csv"
#input,"data/WW-PV-roof/E2023.csv"
2008-06-19,SunnyBeam,1,6.940
2008-06-20,SunnyBeam,1,3.510
2008-06-21,SunnyBeam,1,2.010
2008-06-22,SunnyBeam,1,7.600
2008-06-23,SunnyBeam,1,7.060
2008-06-24,SunnyBeam,1,5.740
2008-06-25,SunnyBeam,1,6.430
2008-06-26,SunnyBeam,1,5.760
2008-06-27,SunnyBeam,1,3.310
2008-06-28,SunnyBeam,1,7.390
2008-06-29,SunnyBeam,1,5.060
2008-06-30,SunnyBeam,1,6.950
2008-07-01,SunnyBeam,1,7.280
2008-07-02,SunnyBeam,1,3.300
2008-07-03,SunnyBeam,1,5.340
2008-07-04,SunnyBeam,1,5.370
2008-07-05,SunnyBeam,1,5.820
2008-07-06,SunnyBeam,1,3.770
2008-07-07,SunnyBeam,1,3.040
2008-07-08,SunnyBeam,1,6.280
2008-07-09,SunnyBeam,1,1.290
2008-07-10,SunnyBeam,1,6.060
2008-07-11,SunnyBeam,1,3.940
2008-07-12,SunnyBeam,1,3.990
2008-07-13,SunnyBeam,1,5.430
2008-07-14,SunnyBeam,1,4.880
2008-07-15,SunnyBeam,1,6.240
2008-07-16,SunnyBeam,1,4.150
2008-07-17,SunnyBeam,1,2.150
2008-07-18,SunnyBeam,1,2.030
2008-07-19,SunnyBeam,1,5.590
2008-07-20,SunnyBeam,1,3.850
2008-07-21,SunnyBeam,1,6.470
2008-07-22,SunnyBeam,1,4.760
2008-07-23,SunnyBeam,1,5.060
2008-07-24,SunnyBeam,1,6.390
2008-07-25,SunnyBeam,1,5.300
2008-07-26,SunnyBeam,1,3.630
2008-07-27,SunnyBeam,1,5.470
2008-07-28,SunnyBeam,1,5.350
2008-07-29,SunnyBeam,1,4.640
2008-07-30,SunnyBeam,1,6.910
2008-07-31,SunnyBeam,1,2.340
2008-08-01,SunnyBeam,1,5.030
2008-08-02,SunnyBeam,1,4.300
2008-08-03,SunnyBeam,1,2.000
2008-08-04,SunnyBeam,1,3.730
2008-08-05,SunnyBeam,1,1.630
2008-08-06,SunnyBeam,1,4.740
